,dirname,filename,mask_dirname,mask_filename
115,/root/data/liver_seg/segmentations,segmentation-85.nii,,
116,/root/data/liver_seg/segmentations,segmentation-86.nii,,
117,/root/data/liver_seg/segmentations,segmentation-87.nii,,
118,/root/data/liver_seg/segmentations,segmentation-88.nii,,
119,/root/data/liver_seg/segmentations,segmentation-89.nii,,
120,/root/data/liver_seg/segmentations,segmentation-9.nii,,
121,/root/data/liver_seg/segmentations,segmentation-90.nii,,
122,/root/data/liver_seg/segmentations,segmentation-91.nii,,
123,/root/data/liver_seg/segmentations,segmentation-92.nii,,
124,/root/data/liver_seg/segmentations,segmentation-93.nii,,
125,/root/data/liver_seg/segmentations,segmentation-94.nii,,
126,/root/data/liver_seg/segmentations,segmentation-95.nii,,
127,/root/data/liver_seg/segmentations,segmentation-96.nii,,
128,/root/data/liver_seg/segmentations,segmentation-97.nii,,
129,/root/data/liver_seg/segmentations,segmentation-98.nii,,
130,/root/data/liver_seg/segmentations,segmentation-99.nii,,
131,/root/data/liver_seg/volume_pt1,volume-0.nii,,
132,/root/data/liver_seg/volume_pt1,volume-1.nii,,
133,/root/data/liver_seg/volume_pt1,volume-10.nii,,
134,/root/data/liver_seg/volume_pt1,volume-2.nii,,
135,/root/data/liver_seg/volume_pt1,volume-3.nii,,
136,/root/data/liver_seg/volume_pt1,volume-4.nii,,
137,/root/data/liver_seg/volume_pt1,volume-5.nii,,
138,/root/data/liver_seg/volume_pt1,volume-6.nii,,
139,/root/data/liver_seg/volume_pt1,volume-7.nii,,
140,/root/data/liver_seg/volume_pt1,volume-8.nii,,
141,/root/data/liver_seg/volume_pt1,volume-9.nii,,
142,/root/data/liver_seg/volume_pt2,volume-11.nii,,
143,/root/data/liver_seg/volume_pt2,volume-12.nii,,
144,/root/data/liver_seg/volume_pt2,volume-13.nii,,
145,/root/data/liver_seg/volume_pt2,volume-14.nii,,
146,/root/data/liver_seg/volume_pt2,volume-15.nii,,
147,/root/data/liver_seg/volume_pt2,volume-16.nii,,
148,/root/data/liver_seg/volume_pt2,volume-17.nii,,
149,/root/data/liver_seg/volume_pt2,volume-18.nii,,
150,/root/data/liver_seg/volume_pt2,volume-19.nii,,
151,/root/data/liver_seg/volume_pt2,volume-20.nii,,
152,/root/data/liver_seg/volume_pt3,volume-21.nii,,
153,/root/data/liver_seg/volume_pt3,volume-22.nii,,
154,/root/data/liver_seg/volume_pt3,volume-23.nii,,
155,/root/data/liver_seg/volume_pt3,volume-24.nii,,
156,/root/data/liver_seg/volume_pt3,volume-25.nii,,
157,/root/data/liver_seg/volume_pt3,volume-26.nii,,
158,/root/data/liver_seg/volume_pt3,volume-27.nii,,
159,/root/data/liver_seg/volume_pt3,volume-28.nii,,
160,/root/data/liver_seg/volume_pt3,volume-29.nii,,
161,/root/data/liver_seg/volume_pt3,volume-30.nii,,
162,/root/data/liver_seg/volume_pt4,volume-31.nii,,
163,/root/data/liver_seg/volume_pt4,volume-32.nii,,
164,/root/data/liver_seg/volume_pt4,volume-33.nii,,
165,/root/data/liver_seg/volume_pt4,volume-34.nii,,
166,/root/data/liver_seg/volume_pt4,volume-35.nii,,
167,/root/data/liver_seg/volume_pt4,volume-36.nii,,
168,/root/data/liver_seg/volume_pt4,volume-37.nii,,
169,/root/data/liver_seg/volume_pt4,volume-38.nii,,
170,/root/data/liver_seg/volume_pt4,volume-39.nii,,
171,/root/data/liver_seg/volume_pt4,volume-40.nii,,
172,/root/data/liver_seg/volume_pt5,volume-41.nii,,
173,/root/data/liver_seg/volume_pt5,volume-42.nii,,
174,/root/data/liver_seg/volume_pt5,volume-43.nii,,
175,/root/data/liver_seg/volume_pt5,volume-44.nii,,
176,/root/data/liver_seg/volume_pt5,volume-45.nii,,
177,/root/data/liver_seg/volume_pt5,volume-46.nii,,
178,/root/data/liver_seg/volume_pt5,volume-47.nii,,
179,/root/data/liver_seg/volume_pt5,volume-48.nii,,
180,/root/data/liver_seg/volume_pt5,volume-49.nii,,
181,/root/data/liver_seg/volume_pt5,volume-50.nii,,
